alpha,CL,CD,Cdp,Cm,Top Xtr,Bot Xtr,Cpmin,Chinge,XCp,,
-15,-0.6169,0.18891,0.18402,0.035,1,0.0836,-1.7614,0,0,0,0.2908
-14.5,-0.6012,0.17165,0.16683,0.0336,1,0.0877,-1.7613,0,0,0,0.2902
-14,-0.5704,0.16391,0.15909,0.0341,1,0.0927,-1.6476,0,0,0,0.2942
-13.5,-0.554,0.15723,0.15245,0.0318,1,0.099,-1.6274,0,0,0,0.2922
-13,-0.5491,0.15059,0.14587,0.0273,1,0.1072,-1.6794,0,0,0,0.2851
-12.5,-0.566,0.14743,0.14281,0.0179,1,0.114,-1.8492,0,0,0,0.268
-12,-0.5747,0.13224,0.12773,0.0129,1,0.1176,-1.9777,0,0,0,0.2593
-11.5,-0.5383,0.12475,0.12015,0.0154,1,0.1233,-1.8446,0,0,0,0.2656
-11,-0.5228,0.11797,0.11342,0.0142,1,0.1311,-1.8139,0,0,0,0.2645
-10.5,-0.5255,0.10934,0.10487,0.0095,1,0.1385,-1.8854,0,0,0,0.2559
-10,-0.5411,0.09661,0.09225,0.0026,1,0.1303,-2.0562,0,0,0,0.2432
-9.5,-0.7555,0.05951,0.05394,-0.0175,1,0.0593,-3.5688,0,0,0,0.2166
-9,-0.7311,0.0572,0.05131,-0.0148,1,0.0572,-3.4421,0,0,0,0.2199
-8.5,-0.7355,0.04628,0.03984,-0.0119,1,0.055,-3.5651,0,0,0,0.2243
-8,-0.7139,0.04118,0.03422,-0.009,1,0.0559,-3.4934,0,0,0,0.2282
-7.5,-0.6845,0.03686,0.0293,-0.0063,1,0.0569,-3.3882,0,0,0,0.2319
-7,-0.668,0.03301,0.02514,-0.0013,1,0.0573,-3.3164,0,0,0,0.2396
-6.5,-0.6607,0.02888,0.02066,0.0051,0.9998,0.059,-3.2904,0,0,0,0.2497
-6,-0.5634,0.02385,0.01562,-0.0032,0.9784,0.0739,-3.0112,0,0,0,0.236
-5.5,-0.4884,0.01953,0.01176,-0.0078,0.9519,0.1541,-2.859,0,0,0,0.2257
-5,-0.4528,0.01683,0.01107,-0.0048,0.9163,0.4995,-2.6451,0,0,0,0.2315
-4.5,-0.4098,0.017,0.01152,0.0001,0.8813,0.6129,-2.3268,0,0,0,0.2426
-4,-0.3615,0.01785,0.01248,0.0051,0.849,0.6883,-1.993,0,0,0,0.2566
-3.5,-0.3085,0.01897,0.01334,0.0097,0.8169,0.7388,-1.657,0,0,0,0.2737
-3,-0.2549,0.01985,0.01396,0.0136,0.788,0.7766,-1.3383,0,0,0,0.2956
-2.5,-0.2029,0.02047,0.0143,0.0172,0.7583,0.812,-1.0429,0,0,0,0.3266
-2,-0.1265,0.02126,0.01482,0.0166,0.7257,0.8362,-0.7041,0,0,0,0.3709
-1.5,-0.0549,0.02155,0.01476,0.0158,0.6968,0.8601,-0.6056,0,0,0,0.5221
-1,0.0096,0.02156,0.01456,0.0151,0.6662,0.8879,-0.6716,0,0,0,-1.2732
-0.5,0.098,0.02153,0.0142,0.0099,0.6335,0.9077,-0.755,0,0,0,0.1497
0,0.1741,0.02133,0.0136,0.0069,0.6013,0.9306,-0.8323,0,0,0,0.2088
0.5,0.2537,0.021,0.01318,0.0019,0.5712,0.9537,-0.92,0,0,0,0.2398
1,0.3346,0.02073,0.01263,-0.0034,0.5417,0.9745,-1.0137,0,0,0,0.2566
1.5,0.4211,0.01995,0.01167,-0.0101,0.5105,0.9937,-1.1141,0,0,0,0.2697
2,0.4812,0.02011,0.01173,-0.0125,0.4866,1,-1.1905,0,0,0,0.2713
2.5,0.5233,0.02022,0.0118,-0.0113,0.4655,1,-1.2536,0,0,0,0.2664
3,0.565,0.02094,0.01231,-0.0098,0.4443,1,-1.325,0,0,0,0.2617
3.5,0.6075,0.02114,0.01263,-0.0086,0.4255,1,-1.4019,0,0,0,0.258
4,0.6496,0.02147,0.01286,-0.0069,0.4082,1,-1.4811,0,0,0,0.2539
5,0.7293,0.02374,0.01535,-0.0039,0.3773,1,-1.6346,0,0,0,0.2477
5.5,0.7682,0.02436,0.01595,-0.0016,0.3626,1,-1.7276,0,0,0,0.2439
6,0.8024,0.02632,0.0179,0.0008,0.3465,1,-1.8201,0,0,0,0.2402
6.5,0.8333,0.02749,0.01934,0.0037,0.3353,1,-1.9176,0,0,0,0.2363
7.5,0.8958,0.02984,0.02188,0.0103,0.3119,1,-2.1234,0,0,0,0.228
8,0.9113,0.0332,0.02538,0.0146,0.2996,1,-2.1948,0,0,0,0.2229
8.5,0.9247,0.03498,0.02743,0.0193,0.2894,1,-2.2658,0,0,0,0.2173
9,0.9368,0.03743,0.03008,0.0236,0.2787,1,-2.3373,0,0,0,0.2123
9.5,0.9807,0.03778,0.03036,0.0258,0.2675,1,-2.4988,0,0,0,0.2105
10,0.9846,0.04252,0.03525,0.0291,0.2559,1,-2.5632,0,0,0,0.2065
12,0.666,0.10817,0.10138,0.0092,0.2113,1,-1.7251,0,0,0,0.2187
12.5,0.6327,0.1218,0.11507,0.0026,0.2071,1,-1.5689,0,0,0,0.2281
13,0.618,0.13287,0.1262,-0.0024,0.2062,1,-1.4641,0,0,0,0.2356
13.5,0.6134,0.1424,0.13578,-0.0065,0.2065,1,-1.3896,0,0,0,0.2419
14,0.6812,0.13992,0.13339,-0.002,0.1845,1,-1.672,0,0,0,0.2332
14.5,0.6692,0.16879,0.16241,-0.0103,0.2166,1,-1.496,0,0,0,0.2462
15,0.6255,0.16566,0.15924,-0.0176,0.2028,1,-1.3351,0,0,0,0.2578
